"","venue_name","match_id","match_home_team","match_away_team","match_date","match_local_time","match_attendance","match_round","match_home_team_goals","match_home_team_behinds","match_home_team_score","match_away_team_goals","match_away_team_behinds","match_away_team_score","match_margin","match_winner","match_weather_temp_c","match_weather_type","player_id","player_first_name","player_last_name","player_height_cm","player_weight_kg","player_is_retired","player_team","guernsey_number","kicks","marks","handballs","disposals","effective_disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","brownlow_votes","contested_possessions","uncontested_possessions","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","afl_fantasy_score","supercoach_score","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","hitout_win_percentage","intercept_marks","marks_on_lead","pressure_acts","rating_points","ruck_contests","score_launches","shots_at_goal","spoils","subbed","player_position","date"
"23","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12603,"Bayley","Fritsch",188,0,FALSE,"Melbourne",31,6,2,0,6,5,83,4,1,0,3,0,0,0,2,1,1,0,1,6,0,2,1,0,0,92,59,NA,0,0,5,183,1,0,3,0,0,0,0,1,5,0,0,0,0,0,1,11,12.5,0,0,5,1,NA,"FF",2024-03-07
"24","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12628,"Charlie","Spargo",172,0,FALSE,"Melbourne",9,5,1,7,12,9,75,0,1,0,2,0,3,0,3,1,2,0,2,10,0,0,0,1,0,77,36,NA,0,0,3,134,4,0,2,0,0,0,0,0,3,0,2,0,0,0,0,8,2.5,0,0,1,0,NA,"INT",2024-03-07
"25","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12634,"Tom","McCartin",194,0,FALSE,"Sydney",30,7,7,2,9,7,78,0,0,0,0,1,0,0,3,0,0,0,4,6,1,0,4,0,0,97,46,NA,0,0,1,91,1,6,0,1,2,0,0,6,6,0,3,0,0,4,0,7,6.5,0,1,0,4,NA,"FB",2024-03-07
"26","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12692,"Tom","Sparrow",183,0,FALSE,"Melbourne",32,3,2,10,13,12,92,0,0,0,9,1,2,3,6,1,3,0,9,8,0,0,1,0,0,80,63,NA,1,2,3,103,2,4,0,0,0,0,0,11,3,1,6,0,0,1,0,31,8.7,0,3,0,0,NA,"INT",2024-03-07
"27","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12699,"Nick","Blakey",196,0,FALSE,"Sydney",22,18,9,8,26,18,69,0,0,0,0,7,6,0,2,2,0,0,6,16,1,0,6,6,2,78,99,NA,0,0,4,529,3,6,0,0,0,0,0,4,13,0,3,0,0,2,0,5,15.6,0,1,0,6,NA,"HBFL",2024-03-07
"28","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12711,"Justin","McInerney",189,0,FALSE,"Sydney",27,7,6,13,20,14,70,1,0,1,4,2,1,1,4,0,3,0,6,15,0,0,0,0,0,86,79,NA,0,1,3,129,3,2,0,0,0,1,0,9,6,1,6,0,100,0,0,15,7.2,1,1,1,0,NA,"INT",2024-03-07
"29","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12715,"James","Rowbottom",186,0,FALSE,"Sydney",8,12,0,9,21,12,57,0,2,0,7,2,5,6,4,2,3,0,14,8,0,0,1,0,0,79,77,NA,1,5,4,343,7,5,2,0,0,0,0,14,5,1,10,0,0,0,0,29,11.9,0,2,2,0,NA,"R",2024-03-07
"30","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12745,"Hayden","McLean",197,0,FALSE,"Sydney",2,4,2,1,5,3,60,2,2,10,2,0,1,0,5,0,4,0,4,1,1,1,7,0,0,76,40,NA,0,0,4,150,1,2,0,0,1,3,1,2,2,1,2,0,41.7,0,0,13,3,24,1,4,5,NA,"INT",2024-03-07
"31","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12756,"Kade","Chandler",175,0,FALSE,"Melbourne",37,4,2,7,11,9,82,0,0,0,3,0,3,0,3,0,0,0,5,6,0,0,2,0,0,82,44,NA,0,0,2,145,2,2,3,0,0,2,0,7,3,1,5,0,0,0,0,20,5,0,0,1,1,NA,"INT",2024-03-07
"32","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12778,"Trent","Rivers",188,0,NA,"Melbourne",24,10,4,7,17,11,65,0,0,0,0,2,3,1,4,0,1,0,4,12,0,0,2,0,0,80,53,NA,1,0,1,304,4,5,0,0,0,0,0,9,4,0,4,0,0,1,0,10,7.3,0,0,0,0,NA,"BPL",2024-03-07
